Week,mahindra,ssangyong,mazda,toyota,volkswagen
2009-06-14 - 2009-06-20,0,0,17,72,12
2009-06-21 - 2009-06-27,0,0,17,66,19
2009-06-28 - 2009-07-04,0,0,16,62,14
2009-07-05 - 2009-07-11,0,0,16,69,16
2009-07-12 - 2009-07-18,0,0,22,68,14
2009-07-19 - 2009-07-25,0,0,17,69,19
2009-07-26 - 2009-08-01,0,0,17,64,20
2009-08-02 - 2009-08-08,0,0,23,74,16
2009-08-09 - 2009-08-15,0,0,22,70,18
2009-08-16 - 2009-08-22,0,0,18,69,12
2009-08-23 - 2009-08-29,0,0,25,69,17
2009-08-30 - 2009-09-05,0,0,17,68,16
2009-09-06 - 2009-09-12,0,0,20,73,12
2009-09-13 - 2009-09-19,0,0,15,73,15
2009-09-20 - 2009-09-26,4,0,18,72,17
2009-09-27 - 2009-10-03,3,0,18,78,20
2009-10-04 - 2009-10-10,3,0,19,77,15
2009-10-11 - 2009-10-17,0,0,19,74,13
2009-10-18 - 2009-10-24,0,0,21,78,18
2009-10-25 - 2009-10-31,0,0,21,78,17
2009-11-01 - 2009-11-07,0,0,20,85,16
2009-11-08 - 2009-11-14,0,0,23,80,16
2009-11-15 - 2009-11-21,0,0,20,85,17
2009-11-22 - 2009-11-28,0,0,23,68,15
2009-11-29 - 2009-12-05,0,0,21,71,15
2009-12-06 - 2009-12-12,0,0,24,82,17
2009-12-13 - 2009-12-19,0,0,30,81,22
2009-12-20 - 2009-12-26,0,0,17,84,22
2009-12-27 - 2010-01-02,0,0,18,72,20
2010-01-03 - 2010-01-09,0,0,20,95,28
2010-01-10 - 2010-01-16,3,0,21,81,19
2010-01-17 - 2010-01-23,3,0,20,95,27
2010-01-24 - 2010-01-30,3,0,20,83,23
2010-01-31 - 2010-02-06,0,0,23,92,21
2010-02-07 - 2010-02-13,0,0,20,99,22
2010-02-14 - 2010-02-20,0,0,16,87,19
2010-02-21 - 2010-02-27,0,0,21,82,22
2010-02-28 - 2010-03-06,0,0,16,78,17
2010-03-07 - 2010-03-13,0,0,22,84,22
2010-03-14 - 2010-03-20,0,0,17,88,24
2010-03-21 - 2010-03-27,0,0,19,84,30
2010-03-28 - 2010-04-03,0,0,21,75,20
2010-04-04 - 2010-04-10,0,0,17,76,26
2010-04-11 - 2010-04-17,0,0,19,86,20
2010-04-18 - 2010-04-24,0,0,21,76,16
2010-04-25 - 2010-05-01,0,0,22,86,15
2010-05-02 - 2010-05-08,0,0,19,75,15
2010-05-09 - 2010-05-15,0,0,23,85,15
2010-05-16 - 2010-05-22,0,0,20,81,17
2010-05-23 - 2010-05-29,0,0,17,87,17
2010-05-30 - 2010-06-05,0,0,18,81,14
2010-06-06 - 2010-06-12,0,0,22,82,18
2010-06-13 - 2010-06-19,0,0,20,79,18
2010-06-20 - 2010-06-26,0,0,16,81,20
2010-06-27 - 2010-07-03,0,0,19,78,21
2010-07-04 - 2010-07-10,3,0,19,67,15
2010-07-11 - 2010-07-17,4,0,21,84,17
2010-07-18 - 2010-07-24,4,0,17,78,14
2010-07-25 - 2010-07-31,3,0,22,86,17
2010-08-01 - 2010-08-07,3,0,19,85,16
2010-08-08 - 2010-08-14,3,0,21,80,14
2010-08-15 - 2010-08-21,3,0,20,79,16
2010-08-22 - 2010-08-28,0,0,23,86,17
2010-08-29 - 2010-09-04,0,0,22,75,17
2010-09-05 - 2010-09-11,0,0,19,78,18
2010-09-12 - 2010-09-18,0,0,21,77,15
2010-09-19 - 2010-09-25,0,0,21,78,12
2010-09-26 - 2010-10-02,0,0,26,82,14
2010-10-03 - 2010-10-09,3,0,17,73,15
2010-10-10 - 2010-10-16,3,0,21,75,15
2010-10-17 - 2010-10-23,3,0,20,69,14
2010-10-24 - 2010-10-30,3,0,16,73,19
2010-10-31 - 2010-11-06,3,0,21,75,12
2010-11-07 - 2010-11-13,3,0,18,88,14
2010-11-14 - 2010-11-20,3,0,21,85,17
2010-11-21 - 2010-11-27,0,0,22,70,14
2010-11-28 - 2010-12-04,0,0,20,85,14
2010-12-05 - 2010-12-11,0,0,16,88,17
2010-12-12 - 2010-12-18,0,0,20,76,14
2010-12-19 - 2010-12-25,0,0,20,75,16
2010-12-26 - 2011-01-01,0,0,19,71,11
2011-01-02 - 2011-01-08,3,0,17,81,17
2011-01-09 - 2011-01-15,2,0,17,77,15
2011-01-16 - 2011-01-22,3,0,23,79,17
2011-01-23 - 2011-01-29,2,0,21,84,17
2011-01-30 - 2011-02-05,2,0,17,70,14
2011-02-06 - 2011-02-12,2,0,18,75,14
2011-02-13 - 2011-02-19,3,0,20,82,14
2011-02-20 - 2011-02-26,2,0,15,72,15
2011-02-27 - 2011-03-05,1,0,16,73,16
2011-03-06 - 2011-03-12,2,0,17,73,15
2011-03-13 - 2011-03-19,2,0,17,71,14
2011-03-20 - 2011-03-26,3,0,16,72,13
2011-03-27 - 2011-04-02,1,0,16,77,14
2011-04-03 - 2011-04-09,1,2,15,74,14
2011-04-10 - 2011-04-16,2,0,15,80,16
2011-04-17 - 2011-04-23,2,0,18,84,17
2011-04-24 - 2011-04-30,2,0,14,72,12
2011-05-01 - 2011-05-07,2,0,14,74,13
2011-05-08 - 2011-05-14,3,0,15,70,18
2011-05-15 - 2011-05-21,3,0,16,74,14
2011-05-22 - 2011-05-28,2,0,17,70,13
2011-05-29 - 2011-06-04,2,0,14,77,16
2011-06-05 - 2011-06-11,2,0,17,76,15
2011-06-12 - 2011-06-18,2,0,16,80,16
2011-06-19 - 2011-06-25,2,0,15,76,16
2011-06-26 - 2011-07-02,2,0,15,73,13
2011-07-03 - 2011-07-09,2,0,16,77,15
2011-07-10 - 2011-07-16,2,0,17,76,14
2011-07-17 - 2011-07-23,2,0,16,83,16
2011-07-24 - 2011-07-30,2,0,15,75,13
2011-07-31 - 2011-08-06,2,0,18,73,15
2011-08-07 - 2011-08-13,3,0,16,72,14
2011-08-14 - 2011-08-20,2,0,14,79,12
2011-08-21 - 2011-08-27,2,0,16,80,15
2011-08-28 - 2011-09-03,2,0,15,72,14
2011-09-04 - 2011-09-10,1,0,14,75,13
2011-09-11 - 2011-09-17,1,0,15,84,14
2011-09-18 - 2011-09-24,2,0,12,86,17
2011-09-25 - 2011-10-01,2,0,14,73,11
2011-10-02 - 2011-10-08,2,0,16,78,14
2011-10-09 - 2011-10-15,3,0,16,77,11
2011-10-16 - 2011-10-22,2,0,18,80,15
2011-10-23 - 2011-10-29,4,0,16,77,16
2011-10-30 - 2011-11-05,2,0,13,79,17
2011-11-06 - 2011-11-12,3,0,14,86,16
2011-11-13 - 2011-11-19,2,1,16,90,16
2011-11-20 - 2011-11-26,2,1,15,87,15
2011-11-27 - 2011-12-03,3,1,13,82,12
2011-12-04 - 2011-12-10,3,1,17,79,15
2011-12-11 - 2011-12-17,2,1,13,75,12
2011-12-18 - 2011-12-24,2,0,17,76,11
2011-12-25 - 2011-12-31,2,0,15,81,12
2012-01-01 - 2012-01-07,3,0,15,81,12
2012-01-08 - 2012-01-14,4,0,14,81,17
2012-01-15 - 2012-01-21,4,0,16,81,16
2012-01-22 - 2012-01-28,5,0,17,78,13
2012-01-29 - 2012-02-04,3,0,15,75,14
2012-02-05 - 2012-02-11,4,1,17,80,13
2012-02-12 - 2012-02-18,3,1,16,76,13
2012-02-19 - 2012-02-25,3,1,16,73,15
2012-02-26 - 2012-03-03,3,1,13,71,13
2012-03-04 - 2012-03-10,3,1,14,73,13
2012-03-11 - 2012-03-17,3,1,15,73,14
2012-03-18 - 2012-03-24,2,1,15,71,12
2012-03-25 - 2012-03-31,2,1,14,73,12
2012-04-01 - 2012-04-07,3,1,17,67,13
2012-04-08 - 2012-04-14,3,1,17,74,11
2012-04-15 - 2012-04-21,3,1,15,75,13
2012-04-22 - 2012-04-28,4,1,14,62,12
2012-04-29 - 2012-05-05,2,1,11,72,14
2012-05-06 - 2012-05-12,3,1,15,74,13
2012-05-13 - 2012-05-19,2,1,16,78,12
2012-05-20 - 2012-05-26,3,1,15,85,12
2012-05-27 - 2012-06-02,3,1,14,79,13
2012-06-03 - 2012-06-09,3,1,17,76,14
2012-06-10 - 2012-06-16,3,1,15,78,12
2012-06-17 - 2012-06-23,3,1,19,81,13
2012-06-24 - 2012-06-30,4,1,16,81,12
2012-07-01 - 2012-07-07,3,1,16,75,13
2012-07-08 - 2012-07-14,3,1,15,85,14
2012-07-15 - 2012-07-21,4,1,14,92,15
2012-07-22 - 2012-07-28,2,1,15,84,13
2012-07-29 - 2012-08-04,2,1,13,81,11
2012-08-05 - 2012-08-11,3,1,14,80,11
2012-08-12 - 2012-08-18,3,1,16,100,14
2012-08-19 - 2012-08-25,2,1,17,96,13
2012-08-26 - 2012-09-01,3,1,14,81,11
2012-09-02 - 2012-09-08,3,1,12,77,12
2012-09-09 - 2012-09-15,3,1,16,77,12
2012-09-16 - 2012-09-22,3,1,16,80,13
2012-09-23 - 2012-09-29,3,2,13,76,13
2012-09-30 - 2012-10-06,4,1,16,70,13
2012-10-07 - 2012-10-13,3,1,16,80,14
2012-10-14 - 2012-10-20,3,1,15,76,11
2012-10-21 - 2012-10-27,2,1,17,73,12
2012-10-28 - 2012-11-03,2,1,17,68,11
2012-11-04 - 2012-11-10,2,1,16,76,14
2012-11-11 - 2012-11-17,3,2,15,72,14
2012-11-18 - 2012-11-24,3,1,14,72,14
2012-11-25 - 2012-12-01,2,1,18,74,13
2012-12-02 - 2012-12-08,2,1,15,72,13
2012-12-09 - 2012-12-15,3,1,15,71,12
2012-12-16 - 2012-12-22,3,0,17,67,14
2012-12-23 - 2012-12-29,3,0,17,68,13
2012-12-30 - 2013-01-05,3,0,14,79,15
2013-01-06 - 2013-01-12,3,0,17,79,15
2013-01-13 - 2013-01-19,3,0,15,85,15
2013-01-20 - 2013-01-26,3,1,15,80,14
2013-01-27 - 2013-02-02,2,1,15,78,15
2013-02-03 - 2013-02-09,3,1,15,73,16
2013-02-10 - 2013-02-16,3,1,13,67,17
2013-02-17 - 2013-02-23,3,1,14,76,14
2013-02-24 - 2013-03-02,3,1,12,70,13
2013-03-03 - 2013-03-09,3,1,12,75,15
2013-03-10 - 2013-03-16,3,1,13,73,16
2013-03-17 - 2013-03-23,3,1,14,78,15
2013-03-24 - 2013-03-30,3,1,15,65,13
2013-03-31 - 2013-04-06,2,1,14,74,14
2013-04-07 - 2013-04-13,3,1,14,78,15
2013-04-14 - 2013-04-20,3,1,15,85,15
2013-04-21 - 2013-04-27,3,1,16,78,13
2013-04-28 - 2013-05-04,3,1,14,75,13
2013-05-05 - 2013-05-11,3,1,15,75,16
2013-05-12 - 2013-05-18,3,1,16,73,12
2013-05-19 - 2013-05-25,3,1,16,75,14
2013-05-26 - 2013-06-01,2,1,15,72,15
2013-06-02 - 2013-06-08,3,1,15,73,13
2013-06-09 - 2013-06-15,2,1,13,78,13
2013-06-16 - 2013-06-22,3,1,15,79,13
2013-06-23 - 2013-06-29,3,1,16,78,13
2013-06-30 - 2013-07-06,3,1,14,73,14
2013-07-07 - 2013-07-13,3,1,13,80,13
2013-07-14 - 2013-07-20,2,1,14,74,12
2013-07-21 - 2013-07-27,2,1,15,76,14
2013-07-28 - 2013-08-03,3,1,13,74,13
2013-08-04 - 2013-08-10,2,1,14,72,13
2013-08-11 - 2013-08-17,3,1,14,72,15
2013-08-18 - 2013-08-24,3,0,14,73,13
2013-08-25 - 2013-08-31,2,0,14,77,11
2013-09-01 - 2013-09-07,3,0,15,71,11
2013-09-08 - 2013-09-14,3,0,13,81,14
2013-09-15 - 2013-09-21,3,0,15,70,13
2013-09-22 - 2013-09-28,2,1,15,70,11
2013-09-29 - 2013-10-05,3,1,13,67,11
2013-10-06 - 2013-10-12,4,1,14,71,12
2013-10-13 - 2013-10-19,3,1,13,73,12
2013-10-20 - 2013-10-26,3,1,14,70,12
2013-10-27 - 2013-11-02,2,1,12,67,11
2013-11-03 - 2013-11-09,2,1,14,70,10
2013-11-10 - 2013-11-16,2,1,13,72,10
2013-11-17 - 2013-11-23,2,1,13,68,11
2013-11-24 - 2013-11-30,2,1,13,66,11
2013-12-01 - 2013-12-07,2,1,13,62,10
2013-12-08 - 2013-12-14,1,1,11,59,9
2013-12-15 - 2013-12-21,1,1,11,61,9
2013-12-22 - 2013-12-28,2,0,11,55,7
2013-12-29 - 2014-01-04,1,0,11,63,9
2014-01-05 - 2014-01-11,2,0,12,69,11
2014-01-12 - 2014-01-18,2,0,13,65,10
2014-01-19 - 2014-01-25,2,0,16,68,9
2014-01-26 - 2014-02-01,1,0,14,60,9
2014-02-02 - 2014-02-08,2,1,12,62,8
2014-02-09 - 2014-02-15,2,1,11,63,7
2014-02-16 - 2014-02-22,2,1,13,66,9
2014-02-23 - 2014-03-01,1,1,13,61,8
2014-03-02 - 2014-03-08,1,0,12,60,8
2014-03-09 - 2014-03-15,2,0,12,68,8
2014-03-16 - 2014-03-22,2,0,11,66,9
2014-03-23 - 2014-03-29,2,0,11,62,9
2014-03-30 - 2014-04-05,2,0,12,66,10
2014-04-06 - 2014-04-12,2,0,13,70,9
2014-04-13 - 2014-04-19,2,0,13,66,9
2014-04-20 - 2014-04-26,2,1,11,67,9
2014-04-27 - 2014-05-03,2,1,11,64,9
2014-05-04 - 2014-05-10,2,0,10,67,8
2014-05-11 - 2014-05-17,2,1,12,66,11
2014-05-18 - 2014-05-24,2,1,12,68,10
2014-05-25 - 2014-05-31,2,1,14,67,9
2014-06-01 - 2014-06-07,2,1,13,68,9
2014-06-08 - 2014-06-14,2,0,15,73,11
2014-06-15 - 2014-06-21,2,1,13,70,9
2014-06-22 - 2014-06-28,2,0,12,71,11
2014-06-29 - 2014-07-05,2,1,11,64,10
2014-07-06 - 2014-07-12,2,1,13,68,11
2014-07-13 - 2014-07-19,2,1,13,75,11
2014-07-20 - 2014-07-26,2,1,12,71,9
2014-07-27 - 2014-08-02,2,1,12,69,9
2014-08-03 - 2014-08-09,2,1,12,63,10
2014-08-10 - 2014-08-16,2,0,12,70,10
2014-08-17 - 2014-08-23,2,0,12,65,10
2014-08-24 - 2014-08-30,2,0,12,66,9
2014-08-31 - 2014-09-06,2,0,12,67,9
2014-09-07 - 2014-09-13,2,0,12,66,10
2014-09-14 - 2014-09-20,2,0,13,68,10
2014-09-21 - 2014-09-27,2,0,13,68,9
2014-09-28 - 2014-10-04,2,0,13,65,9
2014-10-05 - 2014-10-11,2,0,14,67,10
2014-10-12 - 2014-10-18,2,0,16,71,9
2014-10-19 - 2014-10-25,2,0,15,69,10
2014-10-26 - 2014-11-01,2,0,12,67,7
2014-11-02 - 2014-11-08,2,1,15,66,8
2014-11-09 - 2014-11-15,3,1,17,70,9
, , , , , 
